type,properties.streamorder,properties.streamID,properties.followingStreamID,properties.id,geometry.type,geometry.coordinates
Feature,4,2253;5541;5542,896,2253_1,Point,-73.05229685023377;10.351206164285133
Feature,4,2253,896,2253_2,Point,-73.05932499594219;10.347632810848904
Feature,4,2253,896,2253_3,Point,-73.0665639702341;10.34710996512287
Feature,4,2253,896,2253_4,Point,-73.07328256168073;10.349411216506812
Feature,4,2253,896,2253_5,Point,-73.0798208812811;10.350377158489419
Feature,4,2253,896,2253_6,Point,-73.08657234627779;10.346711105246332
Feature,4,2253,896,2253_7,Point,-73.09346851660618;10.345722155536937
Feature,4,2253,896,2253_8,Point,-73.10055101372372;10.34937684510616
Feature,4,2253,896,2253_9,Point,-73.10701679055323;10.34560577094766
Feature,4,2253,896,2253_10,Point,-73.11366094309851;10.341940959086942
Feature,4,2253,896,2253_11,Point,-73.12097740940014;10.339724096470135
Feature,4,2253,896,2253_12,Point,-73.12829307442193;10.33849634458091
Feature,4,2253,896,2253_13,Point,-73.13523112937527;10.336642350782776
Feature,4,2253,896,2253_14,Point,-73.14181129524358;10.33407387985734
Feature,4,2253,896,2253_15,Point,-73.14905105439523;10.333818568896808
Feature,4,2253,896,2253_16,Point,-73.15328567770725;10.338931322014094
Feature,4,2253,896,2253_17,Point,-73.16009706163031;10.339994039806683
Feature,4,2253,896,2253_18,Point,-73.16658269617997;10.338702505864514
Feature,4,2253,896,2253_19,Point,-73.17215832067897;10.340142282607738
Feature,4,2253,896,2253_20,Point,-73.1787959633611;10.33954623313759
Feature,4,2253,896,2253_21,Point,-73.18433737919327;10.344129981023436
Feature,4,2253,896,2253_22,Point,-73.19128891983783;10.344877984450866
Feature,4,2253,896,2253_23,Point,-73.19634601105447;10.347796597298846
Feature,4,2253,896,2253_24,Point,-73.19951818043732;10.35147984473601
Feature,4,2253,896,2253_25,Point,-73.20543751932767;10.351770587996961
Feature,4,2253,896,2253_26,Point,-73.21195009435212;10.353217350733681
Feature,4,2253,896,2253_27,Point,-73.21876444991436;10.355876808533354
Feature,4,2253,896,2253_28,Point,-73.22260314600281;10.361413261022049
Feature,4,2253,896,2253_29,Point,-73.2252321128197;10.364772027502626
Feature,4,2276;4917;4918,896,2276_1,Point,-73.06004580414911;10.441738114305974
Feature,4,2276,896,2276_2,Point,-73.06588712421521;10.437913212323208
Feature,4,2276,896,2276_3,Point,-73.07265524311117;10.434170073007168
Feature,4,2276,896,2276_4,Point,-73.07725310207655;10.429494101279841
Feature,4,2276,896,2276_5,Point,-73.08436952020973;10.42660810120322
Feature,4,2276,896,2276_6,Point,-73.0909202622986;10.422507269775782
Feature,4,2276,896,2276_7,Point,-73.09791951072174;10.417907859716246
Feature,4,2276,896,2276_8,Point,-73.10465896037849;10.413382481457333
Feature,4,2276,896,2276_9,Point,-73.11132196257674;10.410858555177045
Feature,4,2276,896,2276_10,Point,-73.11733538033354;10.406326455642718
Feature,4,2276,896,2276_11,Point,-73.12328998978509;10.402615292647825
Feature,4,2276,896,2276_12,Point,-73.12855174033419;10.399241431856554
Feature,4,2276,896,2276_13,Point,-73.1353605860936;10.396264511002446
Feature,4,2276,896,2276_14,Point,-73.14209962813206;10.39494765291621
Feature,4,2276,896,2276_15,Point,-73.14810010411306;10.392253080394855
Feature,4,2276,896,2276_16,Point,-73.1548961828699;10.390832790692553
Feature,4,2276,896,2276_17,Point,-73.16071882484718;10.386033514331306
Feature,4,2276,896,2276_18,Point,-73.16753062275819;10.385635495646614
Feature,4,2276,896,2276_19,Point,-73.17424885560196;10.382499155229304
Feature,4,2276,896,2276_20,Point,-73.18036301786444;10.379301321681577
Feature,4,2276,896,2276_21,Point,-73.18467963715605;10.373224132582807
Feature,4,2276,896,2276_22,Point,-73.19176131303907;10.371623599164582
Feature,4,2276,896,2276_23,Point,-73.19814250269998;10.372847910014936
Feature,4,2276,896,2276_24,Point,-73.20434637056067;10.376673604884697
Feature,4,2276,896,2276_25,Point,-73.2099946770127;10.37806707982624
Feature,4,2276,896,2276_26,Point,-73.21653244405162;10.379459489624105
Feature,4,2276,896,2276_27,Point,-73.22242811848746;10.376253430920329
Feature,4,2276,896,2276_28,Point,-73.2232591561993;10.37461503299344
Feature,2,2347;4352;4353,2302,2347_1,Point,-73.1194931283877;10.335514865674371
Feature,2,2347,2302,2347_2,Point,-73.12783248353998;10.33493061120149
Feature,2,2347,2302,2347_3,Point,-73.13505004281959;10.33431010065685
Feature,2,2347,2302,2347_4,Point,-73.14134279305698;10.330128495923857
Feature,2,2347,2302,2347_5,Point,-73.14879163707458;10.328230379994244
Feature,2,2347,2302,2347_6,Point,-73.15557484777162;10.32500619282122
Feature,2,2347,2302,2347_7,Point,-73.16215819726239;10.324427295466386
Feature,2,2347,2302,2347_8,Point,-73.16941551089081;10.323877345722819
Feature,2,2347,2302,2347_9,Point,-73.1757941675029;10.32335636248737
Feature,2,2347,2302,2347_10,Point,-73.1816607558356;10.321311625074397
Feature,2,2347,2302,2347_11,Point,-73.1887708975178;10.321899300351829
